mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name,CAR Number
18,8,307,130,3504,12,70,1,chevrolet chevelle malibu,L6V 043
15,8,350,165,3693,11.5,70,1,buick skylark 320,RTY079
18,8,318,150,3436,11,70,1,plymouth satellite,MTP600
16,8,304,150,3433,12,70,1,amc rebel sst,MNJ000
17,8,302,140,3449,10.5,70,1,ford torino,JEETMEET
15,8,429,198,4341,10,70,1,ford galaxie 500,NEET090
14,8,454,220,4354,9,70,1,chevrolet impala,NEET098
14,8,440,215,4312,8.5,70,1,plymouth fury iii,MNOP56
14,8,455,225,4425,10,70,1,pontiac catalina,NMTL580
15,8,390,190,3850,8.5,70,1,amc ambassador dpl,
15,8,383,170,3563,10,70,1,dodge challenger se,TN5678
14,8,340,160,3609,8,70,1,plymouth 'cuda 340,TN5679
15,8,400,150,3761,9.5,70,1,chevrolet monte carlo,FTGN89
14,8,455,225,3086,10,70,1,buick estate wagon (sw),YUTN78
24,4,113,95,2372,15,70,3,toyota corona mark ii,RSTNU8
22,6,198,95,2833,15.5,70,1,plymouth duster,LOPS984
18,6,199,97,2774,15.5,70,1,amc hornet,THUK78
15,8,383,170,3563,10,70,1,dodge challenger se,TN5678
27,4,97,88,2130,14.5,70,3,datsun pl510,JNOP879
26,4,97,46,1835,20.5,70,2,volkswagen 1131 deluxe sedan,RHUSJ948
25,4,110,87,2672,17.5,70,2,peugeot 504,JIU5690
24,4,107,90,2430,,70,2,audi 100 ls,JH5673R
25,4,104,95,2375,17.5,70,2,saab 99e,HY683H7
26,4,121,113,2234,12.5,70,2,bmw 2002,JHGTF467
21,6,199,90,2648,15,70,1,amc gremlin,HGTR324
10,8,360,215,4615,14,70,1,ford f250,BHG5678
10,8,307,200,4376,15,70,1,chevy c20,
11,8,318,210,4382,13.5,70,1,dodge d200,HG4679
9,8,304,193,4732,18.5,70,1,hi 1200d,IUHU63G
27,4,97,88,2130,14.5,71,3,datsun pl510,
28,4,140,90,2264,15.5,71,1,chevrolet vega 2300,JHJGH38
25,4,113,95,2228,14,71,3,toyota corona,JHGY59
25,4,98,80,2046,19,71,1,ford pinto,
19,6,232,100,2634,13,71,1,amc gremlin,HGVG69
16,6,225,105,3439,15.5,71,1,plymouth satellite custom,JHGY59
17,6,250,100,3329,15.5,71,1,chevrolet chevelle malibu,MGTE28
19,6,250,88,3302,15.5,71,1,ford torino 500,GYT467
18,6,232,100,3288,15.5,71,1,amc matador,NVFTD5
14,8,350,165,4209,12,71,1,chevrolet impala,JHGF546
14,8,400,175,4464,11.5,71,1,pontiac catalina brougham,MJHGFY
14,8,351,153,4154,13.5,71,1,ford galaxie 500,NV8789
14,8,318,150,4096,13,71,1,plymouth fury iii,JH8893
12,8,383,180,4955,11.5,71,1,dodge monaco (sw),DET5786
13,8,400,170,4746,12,71,1,ford country squire (sw),GYU785
13,8,400,175,5140,12,71,1,pontiac safari (sw),Y688F55
18,6,258,110,2962,13.5,,1,amc hornet sportabout (sw),GTHY79
22,4,140,72,2408,19,71,1,chevrolet vega (sw),GTY685E
19,6,250,100,3282,15,71,1,pontiac firebird,RFT7854
18,6,250,88,3139,14.5,71,1,ford mustang,RT57684
23,4,122,86,2220,14,71,1,mercury capri 2000,HYT7785
28,4,116,90,2123,14,71,2,opel 1900,R4R563
30,4,79,70,2074,19.5,71,2,peugeot 304,ET4457
30,4,88,76,2065,14.5,71,2,fiat 124b,
31,4,71,65,1773,,71,3,toyota corolla 1200,T568G4
35,4,72,69,1613,18,71,3,datsun 1200,
27,4,97,60,1834,19,71,2,volkswagen model 111,TY56783
26,4,91,70,1955,20.5,,1,plymouth cricket,TY6764
24,4,113,95,2278,15.5,72,3,toyota corona hardtop,IUY7864
25,4,97.5,80,2126,17,72,1,dodge colt hardtop,YU766J
23,4,97,54,2254,23.5,72,2,volkswagen type 3,ERT566
20,4,140,90,2408,19.5,72,1,chevrolet vega,HGFT678
21,4,122,86,2226,16.5,72,1,ford pinto runabout,JHG890
13,8,350,165,4274,12,72,1,chevrolet impala,KHYU763
14,8,400,175,4385,12,72,1,pontiac catalina,PLOU90
15,8,318,150,4135,13.5,72,1,plymouth fury iii,KJHI90J
14,8,351,153,4129,13,72,1,ford galaxie 500,JH7485
17,8,304,150,3672,11.5,72,1,amc ambassador sst,JGY589
11,8,429,208,4633,11,72,1,mercury marquis,KJH480
13,8,350,155,4502,13.5,72,1,buick lesabre custom,JHHG43
12,8,350,160,4456,13.5,72,1,oldsmobile delta 88 royale,JHG438
13,8,400,190,4422,12.5,72,1,chrysler newport royal,BATE645
19,3,70,97,2330,13.5,72,3,mazda rx2 coupe,MAST36
15,8,304,150,3892,12.5,72,1,amc matador (sw),SEE467
13,8,307,130,4098,14,72,1,chevrolet chevelle concours (sw),
13,8,302,140,4294,16,72,1,ford gran torino (sw),ABC346
14,8,318,150,4077,14,72,1,plymouth satellite custom (sw),JG7763
18,4,121,112,2933,14.5,72,2,volvo 145e (sw),LOPE35
22,4,121,76,2511,18,72,2,volkswagen 411 (sw),AVBR45
21,4,120,87,2979,19.5,72,2,peugeot 504 (sw),35DCFRT
26,4,96,69,2189,18,72,2,renault 12 (sw),CDR46
22,4,122,86,2395,16,72,1,ford pinto (sw),CDEE35
28,4,97,92,2288,17,72,3,datsun 510 (sw),SWE2334
23,4,120,97,2506,14.5,72,3,toyouta corona mark ii (sw),IOJ65R
28,4,98,80,2164,15,72,1,dodge colt (sw),NMJY6
27,4,97,88,2100,16.5,72,3,toyota corolla 1600 (sw),BYU6U7
13,8,350,175,4100,13,73,1,buick century 350,HY457E
14,8,304,150,3672,11.5,73,1,amc matador,XCEE46
13,8,350,145,3988,13,73,1,chevrolet malibu,HY5BR5
14,8,302,137,4042,14.5,73,1,ford gran torino,XSDE456
15,8,318,150,3777,12.5,73,1,dodge coronet custom,THY567
12,8,429,198,4952,11.5,73,1,mercury marquis brougham,45GT5G
13,8,400,150,4464,12,73,1,chevrolet caprice classic,GTTY46
13,8,351,158,4363,13,73,1,ford ltd,GTH654
14,8,318,150,4237,14.5,73,1,plymouth fury gran sedan,FGTEE4
13,8,440,215,4735,11,73,1,chrysler new yorker brougham,GTTYR6
12,8,455,225,4951,11,73,1,buick electra 225 custom,TTGGT53
13,8,360,175,3821,11,73,1,amc ambassador brougham,TGTYY67
18,6,225,105,3121,16.5,73,1,plymouth valiant,HUYT76
